no,hora,func,valor,unidade,auto
1,08:27:16,DC,0,023,A,A
2,08:27:17,DC,0,023,A,A
3,08:27:18,DC,0,023,A,A
4,08:27:19,DC,0,024,A,A
5,08:27:20,DC,0,024,A,A
6,08:27:21,DC,0,024,A,A
7,08:27:22,DC,0,023,A,A
8,08:27:23,DC,0,023,A,A
9,08:27:24,DC,0,023,A,A
10,08:27:25,DC,0,024,A,A
11,08:27:26,DC,0,024,A,A
12,08:27:27,DC,0,024,A,A
13,08:27:28,DC,0,024,A,A
14,08:27:29,DC,0,023,A,A
15,08:27:30,DC,0,023,A,A
16,08:27:31,DC,0,023,A,A
17,08:27:32,DC,0,023,A,A
18,08:27:33,DC,0,023,A,A
19,08:27:34,DC,0,023,A,A
20,08:27:35,DC,0,023,A,A
21,08:27:36,DC,0,023,A,A
22,08:27:37,DC,0,023,A,A
23,08:27:38,DC,0,024,A,A
24,08:27:39,DC,0,024,A,A
25,08:27:40,DC,0,024,A,A
26,08:27:41,DC,0,023,A,A
27,08:27:42,DC,0,023,A,A
28,08:27:43,DC,0,023,A,A
29,08:27:44,DC,0,023,A,A
30,08:27:45,DC,0,023,A,A
31,08:27:46,DC,0,023,A,A
32,08:27:47,DC,0,024,A,A
33,08:27:48,DC,0,024,A,A
34,08:27:49,DC,0,024,A,A
35,08:27:50,DC,0,024,A,A
36,08:27:51,DC,0,023,A,A
37,08:27:52,DC,0,023,A,A
38,08:27:53,DC,0,024,A,A
39,08:27:54,DC,0,024,A,A
40,08:27:55,DC,0,024,A,A
41,08:27:56,DC,0,024,A,A
42,08:27:57,DC,0,024,A,A
43,08:27:58,DC,0,023,A,A
44,08:27:59,DC,0,023,A,A
45,08:28:00,DC,0,024,A,A
46,08:28:01,DC,0,023,A,A
47,08:28:02,DC,0,023,A,A
48,08:28:03,DC,0,023,A,A
49,08:28:04,DC,0,023,A,A
50,08:28:05,DC,0,023,A,A
51,08:28:06,DC,0,024,A,A
52,08:28:07,DC,0,022,A,A
53,08:28:08,DC,0,02,A,A
54,08:28:09,DC,0,018,A,A
55,08:28:10,DC,0,018,A,A
56,08:28:11,DC,0,018,A,A
57,08:28:12,DC,0,018,A,A
58,08:28:13,DC,0,018,A,A
59,08:28:14,DC,0,018,A,A
60,08:28:15,DC,0,018,A,A
61,08:28:16,DC,0,018,A,A
62,08:28:17,DC,0,018,A,A
63,08:28:18,DC,0,018,A,A
64,08:28:19,DC,0,018,A,A
65,08:28:20,DC,0,018,A,A
66,08:28:21,DC,0,018,A,A
67,08:28:22,DC,0,018,A,A
68,08:28:23,DC,0,018,A,A
69,08:28:24,DC,0,018,A,A
70,08:28:25,DC,0,018,A,A
71,08:28:26,DC,0,018,A,A
72,08:28:27,DC,0,018,A,A
73,08:28:28,DC,0,018,A,A
74,08:28:29,DC,0,018,A,A
75,08:28:30,DC,0,018,A,A
76,08:28:31,DC,0,018,A,A
77,08:28:32,DC,0,018,A,A
78,08:28:33,DC,0,018,A,A
79,08:28:34,DC,0,018,A,A
80,08:28:35,DC,0,017,A,A
81,08:28:36,DC,0,017,A,A
82,08:28:37,DC,0,018,A,A
83,08:28:38,DC,0,018,A,A
84,08:28:39,DC,0,018,A,A
85,08:28:40,DC,0,018,A,A
86,08:28:41,DC,0,018,A,A
87,08:28:42,DC,0,018,A,A
88,08:28:43,DC,0,018,A,A
89,08:28:44,DC,0,018,A,A
90,08:28:45,DC,0,018,A,A
91,08:28:46,DC,0,018,A,A
92,08:28:47,DC,0,018,A,A
93,08:28:48,DC,0,018,A,A
94,08:28:49,DC,0,018,A,A
95,08:28:50,DC,0,018,A,A
96,08:28:51,DC,0,018,A,A
97,08:28:52,DC,0,018,A,A
98,08:28:53,DC,0,018,A,A
99,08:28:54,DC,0,018,A,A
100,08:28:55,DC,0,018,A,A
101,08:28:56,DC,0,018,A,A
102,08:28:57,DC,0,018,A,A
103,08:28:58,DC,0,018,A,A
104,08:28:59,DC,0,018,A,A
105,08:29:00,DC,0,018,A,A
106,08:29:01,DC,0,018,A,A
107,08:29:02,DC,0,018,A,A
108,08:29:03,DC,0,017,A,A
109,08:29:04,DC,0,018,A,A
110,08:29:05,DC,0,018,A,A
111,08:29:06,DC,0,018,A,A
112,08:29:07,DC,0,02,A,A
113,08:29:08,DC,0,021,A,A
114,08:29:09,DC,0,024,A,A
115,08:29:10,DC,0,024,A,A
116,08:29:11,DC,0,024,A,A
117,08:29:12,DC,0,023,A,A
118,08:29:13,DC,0,023,A,A
119,08:29:14,DC,0,023,A,A
120,08:29:15,DC,0,023,A,A
121,08:29:16,DC,0,024,A,A
122,08:29:17,DC,0,024,A,A
123,08:29:18,DC,0,024,A,A
124,08:29:19,DC,0,024,A,A
125,08:29:20,DC,0,023,A,A
126,08:29:21,DC,0,023,A,A
127,08:29:22,DC,0,024,A,A
128,08:29:23,DC,0,024,A,A
